Dates,Average_Accomplishment_Business_Days,Cumulative_Accomplishment
2026-01-01,0.0,0.0
2026-01-02,0.0,0.0
2026-01-03,0.125,0.125
2026-01-04,0.0,0.125
2026-01-05,0.125,0.25
2026-01-06,0.125,0.375
2026-01-07,0.125,0.5
2026-01-08,0.075,0.575
2026-01-09,0.075,0.6499999999999999
2026-01-10,0.125,0.7749999999999999
2026-01-11,0.0,0.7749999999999999
2026-01-12,0.145,0.9199999999999999
2026-01-13,0.02,0.94
2026-01-14,0.02,0.96
2026-01-15,0.02,0.98
2026-01-16,0.02,1.0
2026-01-17,0.0,1.0
2026-01-18,0.0,1.0
2026-01-19,0.0,1.0
2026-01-20,0.0,1.0
2026-01-21,0.0,1.0
2026-01-22,0.0,1.0
2026-01-23,0.0,1.0
2026-01-24,0.0,1.0
2026-01-25,0.0,1.0
2026-01-26,0.0,1.0
2026-01-27,0.0,1.0
2026-01-28,0.0,1.0
2026-01-29,0.0,1.0
2026-01-30,0.0,1.0
2026-01-31,0.0,1.0
